Year,Année,ISO,Jurisdiction,Juridiction,Cause,Origine,Area (hectares),Data Qualifier,Superficie (en hectare),Qualificatifs de données
1990,1990,AB,Alberta,Alberta,Human activity,Activités humaines,2393.79999999998,a,2393.79999999998,a
1990,1990,AB,Alberta,Alberta,Lightning,Foudre,55482.5999999996,a,55482.5999999996,a
1990,1990,AB,Alberta,Alberta,Unspecified,Indéterminée,1008.8,a,1008.8,a
1990,1990,BC,British Columbia,Colombie-Britannique,Human activity,Activités humaines,40278.2999999995,a,40278.2999999995,a
1990,1990,BC,British Columbia,Colombie-Britannique,Lightning,Foudre,35503.4999999994,a,35503.4999999994,a
1990,1990,MB,Manitoba,Manitoba,Human activity,Activités humaines,5719,a,5719,a
1990,1990,MB,Manitoba,Manitoba,Lightning,Foudre,10426,a,10426,a
1990,1990,NB,New Brunswick,Nouveau-Brunswick,Human activity,Activités humaines,6188.10000000003,a,6188.10000000003,a
1990,1990,NB,New Brunswick,Nouveau-Brunswick,Lightning,Foudre,6.9,a,6.9,a
1990,1990,NB,New Brunswick,Nouveau-Brunswick,Unspecified,Indéterminée,23.4,a,23.4,a
1990,1990,NL,Newfoundland and Labrador,Terre-Neuve-et-Labrador,Human activity,Activités humaines,3825.3,a,3825.3,a
1990,1990,NL,Newfoundland and Labrador,Terre-Neuve-et-Labrador,Lightning,Foudre,20777,a,20777,a
1990,1990,NS,Nova Scotia,Nouvelle-Ecosse,Human activity,Activités humaines,1029.09,a,1029.09,a
1990,1990,NS,Nova Scotia,Nouvelle-Ecosse,Lightning,Foudre,0.2,a,0.2,a
1990,1990,NS,Nova Scotia,Nouvelle-Ecosse,Unspecified,Indéterminée,38.87,a,38.87,a
1990,1990,NT,Northwest Territories,Territoires du Nord-Ouest,Human activity,Activités humaines,11.98,a,11.98,a
1990,1990,NT,Northwest Territories,Territoires du Nord-Ouest,Lightning,Foudre,104605.21,a,104605.21,a
1990,1990,NT,Northwest Territories,Territoires du Nord-Ouest,Unspecified,Indéterminée,0.21,a,0.21,a
1990,1990,ON,Ontario,Ontario,Human activity,Activités humaines,8672.00000203901,a,8672.00000203901,a
1990,1990,ON,Ontario,Ontario,Lightning,Foudre,174915.700002871,a,174915.700002871,a
1990,1990,ON,Ontario,Ontario,Unspecified,Indéterminée,25.50000011,a,25.50000011,a
1990,1990,PE,Prince Edward Island,Île-du-Prince-Édouard,Human activity,Activités humaines,82,a,82,a
1990,1990,PE,Prince Edward Island,Île-du-Prince-Édouard,Lightning,Foudre,0,a,0,a
1990,1990,PE,Prince Edward Island,Île-du-Prince-Édouard,Unspecified,Indéterminée,20,a,20,a
1990,1990,QC,Quebec,Québec,Human activity,Activités humaines,18666.5,a,18666.5,a
1990,1990,QC,Quebec,Québec,Lightning,Foudre,64676.0999999999,a,64676.0999999999,a
1990,1990,SK,Saskatchewan,Saskatchewan,Human activity,Activités humaines,35848.2861437003,a,35848.2861437003,a
1990,1990,SK,Saskatchewan,Saskatchewan,Lightning,Foudre,180207.39210484,a,180207.39210484,a
1990,1990,YT,Yukon,Yukon,Human activity,Activités humaines,1412.99,a,1412.99,a
1990,1990,YT,Yukon,Yukon,Lightning,Foudre,181478.93,a,181478.93,a
1991,1991,AB,Alberta,Alberta,Human activity,Activités humaines,2460.99999999999,a,2460.99999999999,a
1991,1991,AB,Alberta,Alberta,Lightning,Foudre,4118.49999999999,a,4118.49999999999,a
1991,1991,AB,Alberta,Alberta,Unspecified,Indéterminée,135,a,135,a
1991,1991,BC,British Columbia,Colombie-Britannique,Human activity,Activités humaines,10923.6000000002,a,10923.6000000002,a
1991,1991,BC,British Columbia,Colombie-Britannique,Lightning,Foudre,14265.2000000001,a,14265.2000000001,a
1991,1991,MB,Manitoba,Manitoba,Human activity,Activités humaines,20668.1,a,20668.1,a
1991,1991,MB,Manitoba,Manitoba,Lightning,Foudre,130317.6,a,130317.6,a
1991,1991,NB,New Brunswick,Nouveau-Brunswick,Human activity,Activités humaines,3417.29999999999,a,3417.29999999999,a
1991,1991,NB,New Brunswick,Nouveau-Brunswick,Lightning,Foudre,56.7000000000001,a,56.7000000000001,a
1991,1991,NB,New Brunswick,Nouveau-Brunswick,Unspecified,Indéterminée,85,a,85,a
1991,1991,NL,Newfoundland and Labrador,Terre-Neuve-et-Labrador,Human activity,Activités humaines,6863.4,a,6863.4,a
1991,1991,NL,Newfoundland and Labrador,Terre-Neuve-et-Labrador,Lightning,Foudre,49526.6,a,49526.6,a
1991,1991,NS,Nova Scotia,Nouvelle-Ecosse,Human activity,Activités humaines,1712.09,a,1712.09,a
1991,1991,NS,Nova Scotia,Nouvelle-Ecosse,Lightning,Foudre,17.98,a,17.98,a
1991,1991,NS,Nova Scotia,Nouvelle-Ecosse,Unspecified,Indéterminée,45.68,a,45.68,a
1991,1991,NT,Northwest Territories,Territoires du Nord-Ouest,Human activity,Activités humaines,46.97,a,46.97,a
1991,1991,NT,Northwest Territories,Territoires du Nord-Ouest,Lightning,Foudre,225401.42,a,225401.42,a
1991,1991,NT,Northwest Territories,Territoires du Nord-Ouest,Unspecified,Indéterminée,18.03,a,18.03,a
1991,1991,ON,Ontario,Ontario,Human activity,Activités humaines,11090.200003762,a,11090.200003762,a
1991,1991,ON,Ontario,Ontario,Lightning,Foudre,307671.500002577,a,307671.500002577,a
1991,1991,ON,Ontario,Ontario,Unspecified,Indéterminée,49.400000132,a,49.400000132,a
1991,1991,PE,Prince Edward Island,Île-du-Prince-Édouard,Human activity,Activités humaines,40,a,40,a
1991,1991,PE,Prince Edward Island,Île-du-Prince-Édouard,Lightning,Foudre,0,a,0,a
1991,1991,PE,Prince Edward Island,Île-du-Prince-Édouard,Unspecified,Indéterminée,79,a,79,a
1991,1991,QC,Quebec,Québec,Human activity,Activités humaines,42503.0999999999,a,42503.0999999999,a
1991,1991,QC,Quebec,Québec,Lightning,Foudre,395828.3,a,395828.3,a
1991,1991,SK,Saskatchewan,Saskatchewan,Human activity,Activités humaines,33955.1599999997,a,33955.1599999997,a
1991,1991,SK,Saskatchewan,Saskatchewan,Lightning,Foudre,164219.95,a,164219.95,a
1991,1991,YT,Yukon,Yukon,Human activity,Activités humaines,805.14,a,805.14,a
1991,1991,YT,Yukon,Yukon,Lightning,Foudre,119465.68,a,119465.68,a
1992,1992,AB,Alberta,Alberta,Human activity,Activités humaines,2002.19999999999,a,2002.19999999999,a
1992,1992,AB,Alberta,Alberta,Lightning,Foudre,1088.5,a,1088.5,a
1992,1992,AB,Alberta,Alberta,Unspecified,Indéterminée,470.6,a,470.6,a
1992,1992,BC,British Columbia,Colombie-Britannique,Human activity,Activités humaines,15559.9000000003,a,15559.9000000003,a
1992,1992,BC,British Columbia,Colombie-Britannique,Lightning,Foudre,14892.9000000004,a,14892.9000000004,a
1992,1992,MB,Manitoba,Manitoba,Human activity,Activités humaines,90957.6000000001,a,90957.6000000001,a
1992,1992,MB,Manitoba,Manitoba,Lightning,Foudre,342816.2,a,342816.2,a
1992,1992,NB,New Brunswick,Nouveau-Brunswick,Human activity,Activités humaines,5330.9,a,5330.9,a
1992,1992,NB,New Brunswick,Nouveau-Brunswick,Lightning,Foudre,32.2,a,32.2,a
1992,1992,NB,New Brunswick,Nouveau-Brunswick,Unspecified,Indéterminée,35.8,a,35.8,a
1992,1992,NL,Newfoundland and Labrador,Terre-Neuve-et-Labrador,Human activity,Activités humaines,1435.5,a,1435.5,a
1992,1992,NL,Newfoundland and Labrador,Terre-Neuve-et-Labrador,Lightning,Foudre,374.2,a,374.2,a
1992,1992,NS,Nova Scotia,Nouvelle-Ecosse,Human activity,Activités humaines,1111.11,a,1111.11,a
1992,1992,NS,Nova Scotia,Nouvelle-Ecosse,Lightning,Foudre,0.11,a,0.11,a
1992,1992,NS,Nova Scotia,Nouvelle-Ecosse,Unspecified,Indéterminée,48.39,a,48.39,a
1992,1992,NT,Northwest Territories,Territoires du Nord-Ouest,Human activity,Activités humaines,269.43,a,269.43,a
1992,1992,NT,Northwest Territories,Territoires du Nord-Ouest,Lightning,Foudre,34072.78,a,34072.78,a
1992,1992,NT,Northwest Territories,Territoires du Nord-Ouest,Unspecified,Indéterminée,2607.24,a,2607.24,a
1992,1992,ON,Ontario,Ontario,Human activity,Activités humaines,5372.600002254,a,5372.600002254,a
1992,1992,ON,Ontario,Ontario,Lightning,Foudre,170595.900000337,a,170595.900000337,a
1992,1992,ON,Ontario,Ontario,Unspecified,Indéterminée,25.900000039,a,25.900000039,a
1992,1992,PE,Prince Edward Island,Île-du-Prince-Édouard,Human activity,Activités humaines,41,a,41,a
1992,1992,PE,Prince Edward Island,Île-du-Prince-Édouard,Lightning,Foudre,0,a,0,a
1992,1992,PE,Prince Edward Island,Île-du-Prince-Édouard,Unspecified,Indéterminée,2,a,2,a
1992,1992,QC,Quebec,Québec,Human activity,Activités humaines,8127.30000000001,a,8127.30000000001,a
1992,1992,QC,Quebec,Québec,Lightning,Foudre,18984.2,a,18984.2,a
1992,1992,SK,Saskatchewan,Saskatchewan,Human activity,Activités humaines,9635.18000000005,a,9635.18000000005,a
1992,1992,SK,Saskatchewan,Saskatchewan,Lightning,Foudre,88121.21,a,88121.21,a
1992,1992,YT,Yukon,Yukon,Human activity,Activités humaines,5998.23000000001,a,5998.23000000001,a
1992,1992,YT,Yukon,Yukon,Lightning,Foudre,31816.84,a,31816.84,a
1993,1993,AB,Alberta,Alberta,Human activity,Activités humaines,1489.71,a,1489.71,a
1993,1993,AB,Alberta,Alberta,Lightning,Foudre,26170.3999999998,a,26170.3999999998,a
1993,1993,AB,Alberta,Alberta,Unspecified,Indéterminée,32.1,a,32.1,a
